Group	Scan Group	Scan Identity	Res	Sections
4	CCR-2-B1	CCR-2-0027	90	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
4	CCR-2-B1	CCR-2-0028	82	[16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]
5	CCR-2-B1	CCR-2-0029	205	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0030	164	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0031	136	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0032	116	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0033	102	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0034	91	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
5	CCR-2-B1	CCR-2-0035	82	[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]
6	CCR-2-B1	CCR-2-0036	205	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B1	CCR-2-0037	164	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B1	CCR-2-0038	136	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B1	CCR-2-0039	116	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B1	CCR-2-0040	102	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B2	CCR-2-0041	91	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
6	CCR-2-B2	CCR-2-0042	82	[6, 5, 4, 6, 5, 6, 5, 6, 5, 5]
7	CCR-2-B2	CCR-2-0043	203	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0044	162	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0045	135	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0046	116	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0047	101	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0048	90	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
7	CCR-2-B2	CCR-2-0049	81	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
8	CCR-2-B2	CCR-2-0050	203	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0051	162	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0052	135	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0053	116	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0054	101	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0055	90	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
8	CCR-2-B2	CCR-2-0056	81	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
9	CCR-2-B2	CCR-2-0057	203	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0058	162	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0059	135	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0060	116	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0061	101	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0062	90	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
9	CCR-2-B2	CCR-2-0063	81	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
10	CCR-2-B2	CCR-2-0064	204	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0065	164	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0066	137	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0067	117	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0068	102	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0069	91	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
10	CCR-2-B2	CCR-2-0070	82	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
11	CCR-2-B2	CCR-2-0071	204	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0072	164	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0073	137	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0074	117	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0075	102	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0076	91	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
11	CCR-2-B2	CCR-2-0077	82	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
12	CCR-2-B2	CCR-2-0078	204	[6, 7, 7, 7, 7, 7, 7, 6, 6, 7]
12	CCR-2-B2	CCR-2-0079	164	[6, 7, 7, 7, 7, 7, 7, 6, 6, 7]
12	CCR-2-B2	CCR-2-0080	137	[6, 7, 7, 7, 7, 7, 7, 6, 6, 7]
12	CCR-2-B3	CCR-2-0081	117	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
12	CCR-2-B3	CCR-2-0082	102	[6, 7, 7, 7, 7, 7, 7, 6, 6, 7]
12	CCR-2-B3	CCR-2-0083	91	[6, 7, 7, 7, 7, 7, 7, 6, 6, 7]
12	CCR-2-B3	CCR-2-0084	82	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
13	CCR-2-B3	CCR-2-0085	204	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0086	163	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0087	136	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0088	116	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0089	101	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0090	90	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
13	CCR-2-B3	CCR-2-0091	81	[13, 14, 13, 13, 13, 14, 14, 13, 13, 14]
14	CCR-2-B3	CCR-2-0092	204	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0093	163	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0094	136	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0095	116	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0096	101	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0097	90	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
14	CCR-2-B3	CCR-2-0098	81	[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
15	CCR-2-B3	CCR-2-0099	204	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
15	CCR-2-B3	CCR-2-0100	163	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
15	CCR-2-B3	CCR-2-0101	136	[7, 7, 6, 7, 6, 7, 7, 7, 6, 6]
15	CCR-2-B3	CCR-2-0102	116	[7, 7, 6, 7, 7, 6, 6, 7, 7, 6]
15	CCR-2-B3	CCR-2-0103	101	[7, 7, 6, 7, 7, 6, 6, 7, 7, 6]
15	CCR-2-B3	CCR-2-0104	90	[7, 7, 6, 7, 7, 6, 6, 7, 7, 6]
15	CCR-2-B3	CCR-2-0105	81	[7, 7, 6, 7, 7, 6, 6, 7, 7, 6]
